FLAG_TSUNAMI	YEAR	MONTH	DAY	EQ_PRIMARY	LATITUDE	LONGITUDE
Tsu	1924	6	26	7.8	-56	157.5
	1928	4	16	7.8	17.75	-97.1
	1929	6	27	7.8	-54	-29.5
	1929	12	17	7.8	52.5	171.5
Tsu	1931	10	3	7.8	-10.932	161.016
Tsu	1934	7	18	7.8	-11.907	166.731
Tsu	1935	9	20	7.8	-3.824	141.416
	1942	4	8	7.8	13.5	121
	1943	7	29	7.8	19.3	-67.5
	1944	1	15	7.8	-31.5	-68.5
	1945	12	28	7.8	-6	150
	1946	9	12	7.8	23.9	96.2
Tsu	1949	12	17	7.8	-54	-71
Tsu	1949	12	17	7.8	-54	-71
	1950	12	2	7.8	-18.25	167.5
	1951	3	19	7.8	9.5	127.3
	1955	2	27	7.8	-28	-175.5
	1957	11	29	7.8	-21	-66
	1957	12	17	7.8	-12.3	166.7
Tsu	1965	8	23	7.8	16.3	-95.8
Tsu	1966	12	31	7.8	-11.893	166.445
	1972	6	11	7.8	3.9	124.3
	1975	10	11	7.8	-24.894	-175.119
	1978	9	16	7.8	33.386	57.434
Tsu	1992	12	12	7.8	-8.48	121.896
Tsu	1994	6	2	7.8	-10.477	112.835
	2000	11	16	7.8	-5.233	153.102
	2000	11	17	7.8	-5.496	151.781
	2001	11	14	7.8	35.946	90.541
Tsu	2003	11	17	7.8	51.146	178.65
Tsu	2007	12	9	7.8	-25.996	-177.514
Tsu	2009	7	15	7.8	-45.762	166.562
	2009	10	7	7.8	-12.517	166.382
Tsu	2010	4	6	7.8	2.383	97.048
Tsu	2010	10	25	7.8	-3.487	100.082
	2013	11	17	7.8	-60.296	-46.362
	2015	4	25	7.8	28.147	84.708
	2015	5	30	7.8	27.831	140.493
Tsu	2016	3	2	7.8	-4.908	94.275
	2016	4	16	7.8	0.382	-79.922
Tsu	2016	11	13	7.8	-42.757	173.077
	2016	12	8	7.8	-10.665	161.335
Tsu	1939	12	26	7.7	39.77	39.533
	1796	3	30	7.7	-27.35	-70.35
Tsu	1819	6	16	7.7	23	71
	1952	7	21	7.7	35	-119.017
Tsu	1509	9	10	7.7	40.8	28.1
Tsu	1531	1	26	7.7	38.7	-9.1
Tsu	1655	11	13	7.7	-12.3	-77.6
	1674	8	29	7.7	-1.7	-79
	1698	6	20	7.7	-1.2	-78.7
	1742	6	27	7.7	53.3	104
	1761	12	9	7.7	50	90
Tsu	1812	3	26	7.7	10.6	-66.9
	1868	8	16	7.7	0.31	-78.18
Tsu	1880	8	15	7.7	-31.62	-71.18
	1902	8	22	7.7	39.88	76.2
	1906	2	3	7.7	3.5	-76.2
	1911	1	3	7.7	43.5	77.5
Tsu	1959	8	18	7.7	44.712	-111.215
Tsu	1980	10	10	7.7	36.195	1.354
	1999	9	20	7.7	23.772	120.982
	2001	1	26	7.7	23.419	70.232
	1725	1	7	7.7	-9	-79
	1780	1	8	7.7	38	46.2
Tsu	1886	9	1	7.7	32.9	-80
	1906	7	11	7.7	4.6	-74
	1906	7	14	7.7	4.6	-74
Tsu	1931	2	2	7.7	-39.772	176.025
Tsu	1936	4	1	7.7	4.5	126.5
Tsu	1975	11	29	7.7	19.451	-155.033
Tsu	1979	12	12	7.7	1.598	-79.358
Tsu	1833	9	18	7.7	-18.251	-71.01
Tsu	1973	6	17	7.7	43.2	145.8
Tsu	1978	6	12	7.7	38.19	142.028
Tsu	1983	5	26	7.7	40.462	139.102
Tsu	1987	10	16	7.7	-6.266	149.06
Tsu	1993	7	12	7.7	42.851	139.197
Tsu	1996	11	12	7.7	-14.993	-75.675
Tsu	2001	1	13	7.7	13.049	-88.66
Tsu	2007	11	14	7.7	-22.247	-69.89
Tsu	1590			7.7	-17.2	-72.9
	1897	9	20	7.7	-11.9	-76.8
	1913	2	24	7.7	-3.4	-79.6
	1929	1	13	7.7	49.8	154.8
	1975	7	20	7.7	-7.104	155.152
	1990	6	20	7.7	36.957	49.409
Tsu	1998	11	29	7.7	-2.071	124.891
	1950	12	14	7.7	-19.5	-176
Tsu	1975	5	26	7.7	35.997	-17.649
Tsu	1981	9	1	7.7	-14.96	-173.085
Tsu	1995	5	16	7.7	-23.008	169.9
	1483	2	18	7.7	24.9	57.9
Tsu	1614	11	26	7.7	37.5	138
	1660	10	27	7.7	-0.2	-78.5
	1721	4	26	7.7	37.9	46.7
Tsu	1897	8	5	7.7	38	143.7
	1903	1	14	7.7	15	-98
	1903	8	8	7.7	4.6	-74
	1904	11	1	7.7	-1	-80.5
	1907	5	4	7.7	-7.5	153.7
	1907	10	16	7.7	28	-112.5
	1909	1	23	7.7	33	50
	1909	12	9	7.7	-10	165
	1911	8	16	7.7	7	137
	1913	4	25	7.7	9.5	127.8
	1913	8	1	7.7	47.5	155.5
	1915	2	28	7.7	23.6	123.5
	1916	2	6	7.7	48.5	178.5
	1916	8	28	7.7	30	81
	1916	10	31	7.7	46.5	160
	1917	7	4	7.7	25	123
Tsu	1917	7	29	7.7	-3	143.5
	1917	12	29	7.7	15	-97
	1918	1	30	7.7	45.4	136.5
Tsu	1920	2	2	7.7	-6.5	150
	1921	4	30	7.7	19.7	-104.3
	1923	2	24	7.7	55	162.4
Tsu	1923	9	2	7.7	34.9	140.2
	1928	2	10	7.7	17.8	-97.6
Tsu	1928	3	22	7.7	15.67	-96.1
Tsu	1928	6	17	7.7	16.028	-97.036
Tsu	1931	3	9	7.7	40.5	142.5
	1931	10	10	7.7	-9.968	161.194
	1933	11	20	7.7	73.122	-70.014
Tsu	1934	7	18	7.7	8	-82.5
	1937	7	26	7.7	18.8	-97.5
Tsu	1938	11	5	7.7	37.1	141.7
Tsu	1939	1	30	7.7	-7.08	155.386
	1946	9	29	7.7	-4.5	153.5
	1947	3	17	7.7	33.3	99.5
Tsu	1950	10	5	7.7	11	-85
	1956	1	10	7.7	-20	-175
	1959	9	14	7.7	-28.5	-177
	1961	9	5	7.7	-58	-27
	1961	9	8	7.7	-56.26	-27.283
	1963	8	15	7.7	-13.8	-69.3
	1968	5	28	7.7	-2.9	139.3
	1969	11	21	7.7	2.1	94.6
	1972	1	25	7.7	23	122.2
	1975	5	10	7.7	-38.18	-73.23
	1978	2	9	7.7	-30.68	-177.36
Tsu	1978	11	29	7.7	16.01	-96.591
Tsu	1982	12	19	7.7	-24.133	-175.864
	1987	9	3	7.7	-58.893	158.513
Tsu	1992	9	2	7.7	11.727	-87.386
Tsu	1995	8	16	7.7	-5.799	154.178
Tsu	1997	4	21	7.7	-12.584	166.676
Tsu	1997	10	14	7.7	-22.101	-176.772
	2002	8	19	7.7	-21.696	-179.513
	2002	8	19	7.7	-23.884	178.495
	2005	6	13	7.7	-19.987	-69.197
	2005	9	9	7.7	-4.539	153.474
Tsu	2006	7	17	7.7	-9.254	107.411
	2008	7	5	7.7	53.882	152.886
	2012	8	14	7.7	49.8	145.064
Tsu	2012	10	28	7.7	52.788	-132.101
	2013	4	16	7.7	28.033	61.996
Tsu	2013	9	24	7.7	26.971	65.52
	2016	7	29	7.7	18.515	145.529
Tsu	2017	7	17	7.7	54.472	168.815
Tsu	1202	5	20	7.6	33.5	36
	1927	5	22	7.6	36.75	102
	1943	11	26	7.6	41	33.7
Tsu	1859	10	5	7.6	-27.35	-70.35
	1904	3	18	7.6	42.5	145.8
	1915	10	3	7.6	40.5	-117.5
	1932	12	25	7.6	39.7	96.7
	1946	11	2	7.6	41.5	72.5
Tsu	1953	5	6	7.6	-36.5	-72.5
	1957	6	27	7.6	56.2	116.4
	1966	3	22	7.6	37.5	115.1
	1970	12	10	7.6	-4	-80.7
	1973	2	6	7.6	31.4	100.58
Tsu	1991	4	22	7.6	9.685	-83.073
Tsu	1999	8	17	7.6	40.76	29.97
	1042	11	4	7.6	38.1	46.3
	1209			7.6	36	58.8
	1552	7	2	7.6	-16.6	-71.3
	1896	11	18	7.6	43.5	146
	1907	4	18	7.6	14	123
Tsu	1928	12	1	7.6	-35	-72
Tsu	1938	5	19	7.6	-1	120
Tsu	1958	1	19	7.6	1.5	-79.5
	1975	2	2	7.6	53.11	173.5
	1992	6	28	7.6	34.201	-116.436
	1955	3	31	7.6	8.1	123.2
Tsu	1964	11	17	7.6	-5.7	150.7
	2005	10	8	7.6	34.539	73.588
	1725	1	8	7.6	-16.4	-70.8
	1911	5	4	7.6	51.8	156
	1956	10	11	7.6	46	150.5
Tsu	1972	7	30	7.6	56.82	-135.68
Tsu	1977	4	20	7.6	-9.89	160.348
Tsu	1983	3	18	7.6	-4.883	153.581
Tsu	1987	2	8	7.6	-6.088	147.689
Tsu	1970	1	10	7.6	6.8	126.7
Tsu	1975	10	31	7.6	12.54	125.993
Tsu	1977	4	2	7.6	-16.696	-172.095
Tsu	1978	3	24	7.6	44.244	148.862
Tsu	1983	11	30	7.6	-6.852	72.11
Tsu	1985	9	21	7.6	17.802	-101.647
	1993	1	15	7.6	43.3	143.691
	1972	1	4	7.6	22.6	122.1
	1911	12	16	7.6	17	-100.7
Tsu	1941	12	5	7.6	8.7	-83.2
	2010	7	23	7.6	6.486	123.467
	-400			7.6	35.5	51.8
	763			7.6	33.3	59.3
	1336	10	21	7.6	34.7	59.7
	1389	2		7.6	36.2	58.8
	1556	10	17	7.6	-0.2	-78.6
Tsu	1608	4	20	7.6	36.4	50.5
	1641	1	10	7.6	-1.5	-78.5
Tsu	1646	6	9	7.6	37.7	141.7
Tsu	1662	10	30	7.6	31.7	132
	1717	5	13	7.6	39	142.7
Tsu	1730	11	10	7.6	36.2	142.2
Tsu	1820	5	4	7.6	17.2	-99.6
Tsu	1822	5	7	7.6	10.1	-83.3
Tsu	1835	7	20	7.6	37.9	141.9
Tsu	1868	10	18	7.6	-40.2	173
	1898	6	29	7.6	52	172
	1900	7	29	7.6	-10	165
	1905	6	30	7.6	-1	-168
	1906	12	23	7.6	56.85	-153.9
	1907	2	23	7.6	-13.2	-75.4
	1908	11	6	7.6	45	150
Tsu	1909	6	3	7.6	-2	101
Tsu	1909	6	8	7.6	-26.5	-70.5
	1911	7	4	7.6	36	70.5
	1913	6	26	7.6	-20	-174
	1914	1	30	7.6	-35	-73
Tsu	1914	6	25	7.6	-3.924	101.82
	1914	10	23	7.6	6	132.5
	1915	6	6	7.6	-18.5	-68.5
